Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\12_Hardware_EAL\02_UltraZohm_Adapter\EthernetBreakout_v2\Project Outputs for RJ45_Breakout\Rev03\Pick Place\Pick Place for Adapter.csv

========================================================================================================================
File Design Information:

Date:       29.12.22
Time:       23:42
Revision:   b59efc7bf935949430f158f37c3e56fcbbac398d
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"J3","HDR1X4","20.0690","16.2590","3.6990","3.6990","20.0690","3.6990","180","Header 4","TopLayer"
"J2","HDR1X4","30.2290","26.4190","3.6990","3.6990","30.2290","3.6990","180","Header 4","TopLayer"
"P-pairs","HDR1X4","34.0360","34.0360","21.9710","25.7810","34.0360","21.9710","90","Header 4","TopLayer"
"N-pairs","HDR1X4","34.0360","34.0360","9.0170","12.8270","34.0360","9.0170","90","Header 4","TopLayer"
"GND","HDR2X2","34.6290","33.3590","38.6860","39.9560","34.6290","38.6860","90","Header 2X2","TopLayer"
"ADC2","HDR2X2","4.4450","5.7150","24.5547","23.2847","4.4450","24.5547","270","Header 2X2","TopLayer"
"ADC3","HDR2X2","4.4450","5.7150","16.9763","15.7063","4.4450","16.9763","270","Header 2X2","TopLayer"
"ADC4","HDR2X2","4.4450","5.7150","9.3980","8.1280","4.4450","9.3980","270","Header 2X2","TopLayer"
"ADC1","HDR2X2","4.4450","5.7150","32.1330","30.8630","4.4450","32.1330","270","Header 2X2","TopLayer"
"R6","RES_0603_1608","37.3770","37.3770","16.2560","16.2560","37.3770","16.9060","270","0R","BottomLayer"
"R5","RES_0603_1608","37.3770","37.3770","12.8270","12.8270","37.3770","13.4770","270","0R","BottomLayer"
"R4","RES_0603_1608","37.3770","37.3770","9.3980","9.3980","37.3770","8.7480","90","0R","BottomLayer"
"R3","RES_0603_1608","37.3770","37.3770","28.9560","28.9560","37.3770","29.6060","270","0R","BottomLayer"
"R2","RES_0603_1608","37.3770","37.3770","25.7810","25.7810","37.3770","26.4310","270","0R","BottomLayer"
"R1","RES_0603_1608","37.3770","37.3770","22.6060","22.6060","37.3770","21.9560","90","0R","BottomLayer"
"J1","RJ45_JLC","19.0530","19.0530","35.3090","35.3090","23.4980","31.8790","0","RJ45_JLC","TopLayer"
